brand,Model,year,number_of_cylinders,engine_capacity_in_liters,engine_type,transmission,mixed_fuel_consumption_per_100_km_l,CO2_emissions_g/km
Alpina,B3,2020,6,3,Gasoline,Automatic,8.45,
Alpina,B4,2020,6,3,Gasoline,Automatic,8.45,
Alpina,B3,2020,6,3,Gasoline,Automatic,8.6,
Alpina,B6,1993,6,2.8,Gasoline,Manual,9.5,
Alpina,B6,2020,8,4.4,Gasoline,Automatic,10.15,
Alpina,B6,2020,8,4.4,Gasoline,Automatic,10.35,
Alpina,B3,2013,6,3,Gasoline,Automatic,10.45,
Alpina,B10,2004,6,3.3,Gasoline,Manual,10.5,
Alpina,B3,2013,6,3,Gasoline,Automatic,10.6,
Alpina,B7,2020,8,4.4,Gasoline,Automatic,10.65,
Alpina,B3,2013,6,3,Gasoline,Automatic,10.7,
Alpina,B3,2013,6,3,Gasoline,Automatic,10.8,
Alpina,B10,2004,6,3.3,Gasoline,Manual,10.85,
Alpina,Roadster S,2006,6,3.3,Gasoline,Manual,11,
Alpina,B3,2013,6,3,Gasoline,Automatic,11.05,
Alpina,B3,2013,6,3,Gasoline,Automatic,11.15,
Alpina,B6,2020,8,4.4,Gasoline,Automatic,11.25,
Alpina,B7,2020,8,4.4,Gasoline,Automatic,11.25,
Alpina,Roadster V8,2006,8,4.8,Gasoline,Manual,11.25,
Alpina,B5,2013,8,4.4,Gasoline,Automatic,11.45,
Alpina,B3,2006,6,3.3,Gasoline,Manual,11.5,
Alpina,B3,2006,6,3.3,Gasoline,Manual,11.5,
Alpina,B5,2013,8,4.4,Gasoline,Automatic,11.55,
Alpina,B3,2006,6,3.3,Gasoline,Manual,12,
Alpina,B3,2006,6,3.3,Gasoline,Manual,12,
Alpina,B3,2006,6,3.3,Gasoline,Automatic,12.5,
Alpina,B7,2012,8,4.4,Gasoline,Automatic,13.15,
Alpina,B7,2012,8,4.4,Gasoline,Automatic,13.2,
Alpina,B7,2012,8,4.4,Gasoline,Automatic,13.5,
Alpina,B10,2004,8,4.8,Gasoline,Automatic,13.5,
Alpina,B12,1996,12,5,Gasoline,Automatic,13.5,
Alpina,B12,1994,12,5,Gasoline,Automatic,13.5,
Alpina,B5,2011,8,4.4,Gasoline,Automatic,13.65,
Alpina,B6,2010,8,4.4,Gasoline,Automatic,13.65,
Alpina,B5,2011,8,4.4,Gasoline,Automatic,13.75,
Alpina,B10,2004,8,4.6,Gasoline,Automatic,14,
Alpina,B6,2010,8,4.4,Gasoline,Automatic,14.1,
Alpina,B7,2008,8,4.4,Gasoline,Automatic,15,
Alpina,B12,2001,12,6,Gasoline,Automatic,17.4,
Alpine,A610,1995,6,3,Gasoline,Manual,10.5,
Aro,Spartana,2006,4,1.2,Gasoline,Manual,6.5,
Aro,24,2006,4,2.1,Diesel,Manual,8.5,
Aro,10,2006,4,1.6,Gasoline,Manual,10,
Aro,24,2006,4,2.4,Gasoline,Manual,12,
Aro,24,2006,4,2.5,Diesel,Manual,15,
Asia,Rocsta,1997,4,2.2,Diesel,Manual,10,
Aston Martin,Cygnet,2013,4,1.3,Gasoline,Manual,5.15,
Aston Martin,Cygnet,2013,4,1.3,Gasoline,Automatic,5.35,
Aston Martin,DB11,2020,8,4,Gasoline,Automatic,10.7,
Aston Martin,Vantage,2020,8,4,Gasoline,Automatic,11.3,
Aston Martin,DB11,2020,12,5.2,Gasoline,Automatic,12.55,
Aston Martin,V8 Vantage,1999,8,5.3,Gasoline,Manual,13.5,
Aston Martin,Vanquish,2020,12,5.9,Gasoline,Automatic,14.2,
Aston Martin,V8 Vantage,2017,8,4.7,Gasoline,Automatic,14.25,
Aston Martin,Vantage,2013,8,4.7,Gasoline,Automatic,14.25,
Aston Martin,Rapide,2020,12,5.9,Gasoline,Automatic,14.3,
Aston Martin,Vanquish,2020,12,5.9,Gasoline,Automatic,14.45,
Aston Martin,Vantage,2020,8,4.7,Gasoline,Manual,15,
Aston Martin,DB7,2003,12,5.9,Gasoline,Automatic,15,
Aston Martin,DB7,2003,12,5.9,Gasoline,Manual,15,
Aston Martin,Vantage,2020,8,4.7,Gasoline,Manual,15.15,
Aston Martin,DB9,2008,12,5.9,Gasoline,Manual,15.6,
Aston Martin,Rapide,2020,12,5.9,Gasoline,Automatic,15.75,
Aston Martin,DB9,2016,12,5.9,Gasoline,Automatic,15.8,
Aston Martin,Vanquish,2020,12,5.9,Gasoline,Automatic,15.8,
Aston Martin,DB9,2012,12,5.9,Gasoline,Automatic,16.25,
Aston Martin,V8 Vantage,2008,8,4.3,Gasoline,Manual,16.55,
Aston Martin,Vantage,2013,8,4.7,Gasoline,Manual,16.55,
Aston Martin,Virage,2012,12,5.9,Gasoline,Automatic,16.55,
Aston Martin,Virage,2012,12,5.9,Gasoline,Automatic,16.55,349
Aston Martin,Vantage,2008,8,4.3,Gasoline,Automatic,16.8,
Aston Martin,Vantage,2013,8,4.7,Gasoline,Automatic,16.8,
Aston Martin,DB9,2008,12,5.9,Gasoline,Automatic,18,
Aston Martin,DBS,2012,12,5.9,Gasoline,Automatic,18,
Aston Martin,DBS,2012,12,5.9,Gasoline,Manual,18,
Aston Martin,Vantage,2013,12,5.9,Gasoline,Manual,18,
Aston Martin,DB9,2008,12,5.9,Gasoline,Manual,18.1,
Aston Martin,DB9,2012,12,5.9,Gasoline,Manual,18.15,
Aston Martin,V8 Vantage,2008,8,4.3,Gasoline,Automatic,18.85,
Aston Martin,Vantage,2008,8,4.3,Gasoline,Manual,18.85,
Aston Martin,DB7,2004,12,5.9,Gasoline,Manual,19.55,
Aston Martin,V8 Vantage,1999,8,5.3,Gasoline,Manual,20,
Aston Martin,V8 Vantage,1999,8,5.3,Gasoline,Manual,24.35,
Audi,A3,2016,4,2,Diesel,Manual,4.4,
Audi,A3,2020,4,2,Diesel,Manual,4.4,
Audi,A3,2013,4,1.6,Diesel,Manual,4.45,
Audi,A4,2016,4,2,Diesel,Manual,4.45,
Audi,A4,2020,4,2,Diesel,Manual,4.45,
Audi,A4,2020,4,2,diesel,Manual,4.45,112
Audi,A5,2020,4,2,Diesel,Manual,4.45,
Audi,A6,2020,4,2,Diesel,Manual,4.45,
Audi,90,1991,4,1.6,Diesel,Manual,4.5,
Audi,Q2,2020,4,1.6,Diesel,Manual,4.5,
Audi,A4,2020,4,2,Diesel,Manual,4.5,
Audi,TT,2020,4,2,diesel,Manual,4.5,114
Audi,TT,2020,4,2,Diesel,Manual,4.5,
Audi,A2,2005,3,1.4,Diesel,Manual,4.55,
Audi,A2,2005,4,1.4,Diesel,Manual,4.55,
Audi,A3,2013,4,1.6,Diesel,Manual,4.55,
Audi,A3,2016,4,2,Diesel,Manual,4.55,
Audi,A4,2011,4,2,Diesel,Manual,4.55,
Audi,A4,2016,4,2,Diesel,Manual,4.55,
Audi,A3,2013,4,1.6,Diesel,Manual,4.6,
Audi,A5,2016,4,2,Diesel,Manual,4.6,
Audi,A6,2014,4,2,Diesel,Manual,4.6,
Audi,A6,1997,5,2.5,Diesel,Automatic,8.15,
Audi,A3,2000,4,1.6,Gasoline,Manual,8.2,
Audi,A4,2011,4,1.8,Gasoline,Manual,8.2,
Audi,A4,2001,4,1.9,Diesel,Manual,3.45,
Audi,A1,2020,3,1.4,Diesel,Manual,3.5,
Audi,100,1990,5,2.5,Diesel,Manual,3.6,
Audi,A1,2020,4,1.6,Diesel,Manual,3.7,
Audi,A3,2020,4,2,diesel,Manual,3.75,96
Audi,100,1994,5,2.5,Diesel,Manual,3.75,
Audi,A1,2014,4,1.6,Diesel,Manual,3.9,
Audi,A3,2016,4,1.6,Diesel,Manual,3.95,
Audi,A3,2020,4,1.6,Diesel,Manual,3.95,
Audi,A1,2020,3,1,Gasoline,Manual,4.35,
Audi,A3,2013,4,1.6,Diesel,Manual,4.35,
Audi,A3,2016,4,2,Diesel,Manual,4.35,
Audi,A4,2020,4,2,Diesel,Manual,4.35,
Audi,100,1990,5,2,Diesel,Manual,4.35,
Audi,S5,2020,6,3,Gasoline,Automatic,8.2,
Audi,A3,2005,4,1.6,Gasoline,Automatic,8.25,
Audi,A4,2011,4,1.8,Gasoline,Manual,8.25,
Audi,Q5,2017,4,2,Gasoline,Automatic,8.25,
Audi,A6,2014,6,2.8,Gasoline,Manual,8.25,
Audi,A8,2020,6,3,Gasoline,Automatic,8.25,
Audi,A8,2014,8,4.1,Diesel,Automatic,8.25,
Audi,Q5,2020,4,2,Diesel,Manual,4.6,
Audi,A3,2013,4,1.6,Diesel,Manual,4.65,
Audi,A3,2013,4,2,Diesel,Manual,4.65,
Audi,A4,2016,4,2,Diesel,Manual,4.65,
Audi,A4,2020,4,2,Diesel,Manual,4.65,
Audi,A5,2016,4,2,Diesel,Manual,4.65,
Audi,A6,2020,4,2,Diesel,Manual,4.65,
Audi,100,1990,5,2.4,Diesel,Manual,4.65,
Audi,A3,2020,3,1,Gasoline,Manual,4.7,
Audi,A4,2016,4,2,Diesel,Manual,4.7,
Audi,A4,2016,4,2,Diesel,Automatic,4.7,
Audi,A5,2016,4,2,Diesel,Automatic,4.7,
Audi,A5,2016,4,2,Diesel,Manual,4.7,
Audi,A6,2020,4,2,Diesel,Manual,4.7,
Audi,Q3,2020,4,2,diesel,Manual,4.7,119
